Category,Prod_name,Current_price,Num_comments,Review,Old_price,discound,currency,delivery,Get_date,fulfiment,best_seller,Prod_link
Electronics,"Apple Pencil (2nd Generation): iPad Compatibility Check Required - Pixel-Perfect Precision, Perfect for Note-Taking, Drawing, and Signing documents. Attaches, Charges, and Pairs magnetically - White","5,999",8.3K,4.3,Not Found,No discound,EGP,#9 in Digital PensFree Delivery#9 in Digital Pens,Get it Tomorrow,,Best Seller,/egypt-en/pencil-2nd-generation-ipad-compatibility-check-required-pixel-perfect-precision-perfect-for-note-taking-drawing-and-signing-documents-attaches-charges-and-pairs-magnetically-white/N19518803A/p/?o=ee9a1db4f7e20aaa
Electronics,EPSON Epson 103 Ecotank Ink Bottle Black,699,298,4.5,959,27% Off,EGP,#2 in Ink CartridgeFree Delivery10+ sold recently#2 in Ink Cartridge,Get it Tomorrow,,Not best seller,/egypt-en/epson-103-ecotank-ink-bottle-black/N33636397A/p/?o=dd778eb6dce05e3d
Electronics,Yison Cx330 Ultra Sound Portable Stereo Earphones - Black,70,55,3.8,100,30% Off,EGP,Free DeliveryOnly 2 left in stockFree Delivery,Get it Tomorrow,,Not best seller,/egypt-en/cx330-ultra-sound-portable-stereo-earphones-black/N32152407A/p/?o=f16e6d52c893ce6b
Electronics,CD PROJEKT RED The Witcher 3: Wild Hunt Complete Edition International Version - PlayStation 5 (PS5),"1,690",103,4.2,"1,700",No discound,EGP,Free DeliveryFree Delivery,Get it Tomorrow,,Not best seller,/egypt-en/the-witcher-3-wild-hunt-complete-edition-international-version-playstation-5-ps5/N53380595A/p/?o=fa3f16d9c73a2dff
Electronics,HiLook by HIKVISION Full HD EXIR Bullet Surveillance Camera,399,19,4.2,740,46% Off,EGP,Free DeliveryFree Delivery,Get it Tomorrow,,Not best seller,/egypt-en/full-hd-exir-bullet-surveillance-camera/N23190028A/p/?o=f254900e848eb4be
Electronics,Celebrat Wired Stereo In-Ear Headphone - Color May Vary White/Black,60,103,3.6,125,52% Off,EGP,Free DeliveryOnly 7 left in stockFree Delivery,Get it Tomorrow,,Not best seller,/egypt-en/wired-stereo-in-ear-headphone-color-may-vary-white-black/N30063851A/p/?o=fe6cc9c3886ab75c
Electronics,HP سماعة رأس ستريو للألعاب DHE-8011UM، سماعة رأس بتأثير إضاءة LED مع ميكروفون، طول الكابل 2.1 متر والتحكم في مستوى الصوت,475,28,3.5,799,40% Off,EGP,#32 in Microphone & HeadsetsFree Delivery10+ sold recently#32 in Microphone & Headsets,Get it by 1 Nov,,Not best seller,/egypt-en/dhe-8011um-led-2-1/ZD909007856CB769FCD69Z/p/?o=zd909007856cb769fcd69z-1
Electronics,Xprinter Barcode Printer,"3,500",No comments,No review,"4,500",22% Off,EGP,Free DeliveryFree Delivery,Get it by 1 Nov,,Not best seller,/egypt-en/barcode-printer/Z7C4AF80FC3745717EAFCZ/p/?o=z7c4af80fc3745717eafcz-1
Electronics,FUJIFILM Instax Mini 12 Instant Film Camera With Pack Of 10 Films Blossom Pink,"5,099",992,4.4,Not Found,No discound,EGP,#2 in Instant CamerasFree Delivery#2 in Instant Cameras,Get it Tomorrow,,Not best seller,/egypt-en/instax-mini-12-instant-film-camera-with-pack-of-10-films-blossom-pink/N53402429A/p/?o=fb1391254d9cab3f
Electronics,M10 Wireless Bluetooth Headset Black,196.65,5.7K,3.1,250,21% Off,EGP,Free DeliveryFree Delivery,Get it Tomorrow,,Not best seller,/egypt-en/m10-wireless-bluetooth-headset-black/N50862174A/p/?o=cff0304ac3d5b32b
