Product Name,Price,Reviews
"Samsung Galaxy A36 5G, Android Smartphone, 128GB Storage, 8GB RAM, Awesome Lime, 6x OS Upgrades, Large Display, Octa-Core Processor 1 Year Warranty/Local Version","7,832","2,149"
"itel A50|6.6"" HD+ Display with Dynamic Bar| 3GB RAM +64GB ROM, Upto 8GB RAM with Memory Fusion|Octacore Processor|8MP AI Dual Rear Cam|5000 mAh Battery | Shimmer Gold","4,437",49
"Xiaomi Redmi Note 14 Pro Smartphone, 12 + 512GB, Purple, 200MP Professional AI Camera, 5500mAh Battery, 32MP Selfie Camera, AI Functions | 1 year manufacturer warranty","17,999",72
"Samsung Galaxy A55 5G, Android Smartphone, Dual SIM Mobile Phone, 8GB RAM, 256GB Storage, Awesome Navy - 1 Year Warranty/Local Version, Tax Paid","9,450",265
"Samsung Galaxy A16 LTE, Android Smartphone, Dual SIM Mobile Phone, 4GB RAM, 128GB Storage, Light Green (1 Year Local Warranty)","7,316",79
"Itel A90, 4G Smartphone, 256GB Storage, 4GB RAM (Space Titanium, 256, GB, 4, GB)","65,550",394
"Samsung Galaxy M55 5G, Android Smartphone, Dual SIM Mobile Phone, 8GB RAM, 128GB Storage, Black 1 Year Warranty/Local Version","19,980",1
"Motorola Edge 60 Fusion Smartphone (6.67"" Super HD Display, 50MP Camera with Moto AI 12/256GB, 5200mAh, Android 15) Pantone Slipstream (Grey)","9,777",265
"Xiaomi Redmi Note 14 Smartphone, 8 + 128 GB, Lime Green, 108 MP AI Camera System, 5500 mAh Battery, 120 Hz Eye Protection Display, AI Functions | 18 Month manufacturer warranty","25,550",360
"Motorola Moto g35 5G 8GB RAM 256GB UFS 2.2 Android 14 LCD Smartphone, Guava Red (Pack include charger and cover) 2 Years Warranty","84,950",13
"Samsung Galaxy S25 Ultra AI Phone, 512GB Storage, 12GB RAM, Titanium Black, Android Smartphone, 200MP Camera, S Pen, Long Battery Life 1 Year Warranty/Local Version","76,950",25
"Xiaomi Redmi Note 14 Pro+ 5G smartphone, 12 GB RAM 256 GB, 6.67-inch 1.5K AMOLED display, 200 MP camera, NFC, 120 W fast charging, Lavender Violet| 18 Month manufacturer warranty",90,3
"Xiaomi Redmi Note 14 Smartphone, 8 + 256 GB, Lime Green, 108 MP AI Camera System, 5500 mAh Battery, 120 Hz Eye Protection Display, AI Functions | 18 Month manufacturer warranty","19,999",47
"Google Pixel 7 Single SIM, 5G, 8GB Ram, 256GB, Obsidian, US Version, Bluetooth, Wi-Fi","4,299",29
"SAMSUNG Galaxy Z Fold6, AI Phone, 12GB RAM, 512GB Storage, Silver Shadow, Android Smartphone, 50MP Camera, Big Screen, Multi-tasking, S Pen, Long Battery Life, UAE Version","13,999",265
"SAMSUNG Galaxy Z Fold6, 12GB RAM, 256GB Storage, Navy, Big Screen, 1 year Seller Warranty (International Version)","59,999",58
"Mobile Magic Phone Chain, Removable, Phone Case Chain Lanyard, Mobile Phone Strap for Hanging, Phone Chain Adjustable with Cord & Pad, Lanyard for All Smartphones.","9,775","2,149"
"Nothing Phone (3a) 5G Smartphone, 6.77"" 120Hz AMOLED Display, 50MP Triple Camera System, Snapdragon 7s Gen3 Processor, Bluetooth 5.4, IP64 Waterproof, 5000mAh,Dual Nano-SIM, Android 15, 8+128GB Black","4,690",196
"Xiaomi Redmi A5 Smartphone 4GB + 64GB, Battery 5200mAh Octa-Core Processor, 32MP Al Dual Camera, 6.88 Inch Display, Fingerprint and Face Unlock, Sandy Gold","3,675",49
"Xiaomi Redmi Note 14 Pro Smartphone, 8 + 256GB, Purple, 200MP Professional AI Camera, 5500mAh Battery, 32MP Selfie Camera, AI Functions | 1 year manufacturer warranty","21,999","2,493"
"REDMAGIC 10 Pro 144Hz Gaming Phone, 5G Android Smartphone, 16GB RAM+512GB ROM, Snapdragon 8 Elite, 6.85"" 1.5K AMOLED Full Screen, FHD+, 50MP Camera, Dual-Sim, Unlocked Mobile Phone Silver","12,799",265
"Samsung Galaxy A16 LTE, Android Smartphone, Dual SIM Mobile Phone, 6GB RAM, 128GB Storage, Gray, 1 Year Warranty/Local Version","47,550",20
realme C67 Dual-SIM 256GB ROM + 8GB RAM (Only GSM | No CDMA) Factory Unlocked 4G/LTE Smartphone (Sunny Oasis) - International Version,"5,856","3,050"
realme Note 50 DUAL SIM 64GB ROM + 3GB RAM (GSM ONLY | NO CDMA) Factory Unlocked 4G/LTE Smartphone (Sky Blue) - International Version,"16,702",92
"AllCall Magic 15 MAX 128GB + 4GB RAM Smartphone, Cyan Green","16,199",2
"Samsung Galaxy A06 Dual Sim 6GB RAM 128GB Storage Android Smartphone, 6.7-Inch Screen Size, Gold- 1 Year Warranty/Local Version","57,750",101
"Xiaomi Redmi Note 14 Pro+ 5G Smartphone, 12 + 256GB, Blue, 200MP Professional AI Camera, IP68, 120W HyperCharge, AI Features","5,699","2,149"
"Motorola Moto g85 5G 12GB RAM 256GB UFS Android 14 pOLED Smartphone, Olive Green, 2 years Warranty (Pack include charger and cover)","6,999",201
"Samsung Galaxy S24 Ultra, AI Phone, 256GB Storage, Titanium Black, 12GB RAM, Android Smartphone, 200MP Camera, S Pen, Long Battery Life","23,970","1,359"
"Google Pixel 9 - Unlocked Android Smartphone with Gemini, 24-Hour Battery, Advanced Camera, and 6.3"" Actua Display - Obsidian - 256 GB","16,999",29
"Itel P55 8GB RAM 128GB Storage Smartphone, 6.6 Inch Size, Starry Purple - 1 Year Warranty/Local Version","15,599",64
"Samsung Galaxy A56 5G, Android Smartphone, 256GB Storage, 8GB RAM, Awesome Graphite, 6x OS Upgrades, Large Display, Long Battery Life 1 Year Warranty/Local Version","6,199",188
"Samsung Galaxy A16 LTE, Android Smartphone, Dual SIM Mobile Phone, 4GB RAM, 128GB Storage, Black (1 Year Local Warranty)","19,590",265
"Samsung Galaxy A36 5G, Android Smartphone, 256GB Storage, 8GB RAM, Awesome White, 6x OS Upgrades, Large Display, Octa-Core Processor 1 Year Warranty/Local Version","12,499",265
"Samsung Galaxy A55 5G, Android Smartphone, Dual SIM Mobile Phone, 8GB RAM, 128GB Storage, Awesome Lemon -1 Year Warranty/Local Version, Tax Paid","13,499",201
